resume_text,job_description,fit_label
"Python developer with 4 years of experience building FastAPI APIs, Docker deployments, PostgreSQL systems, and React dashboards.","Need a mid-level engineer with Python, FastAPI, Docker, PostgreSQL, and React. 3 years of experience required.",high
"Frontend developer with React, TypeScript, Tailwind, and Vite. Built dashboards and reusable UI components for two years.","Looking for a frontend engineer with React, TypeScript, Tailwind, and testing experience. 2 years required.",high
"Data analyst skilled in Python, pandas, SQL, dashboards, and ETL automation.","Seeking ML engineer with Python, scikit-learn, Docker, AWS, and model deployment experience. 3 years required.",medium
"Customer service representative with scheduling, retail sales, and inventory support.","Hiring backend engineer with Go, PostgreSQL, Docker, CI/CD, and REST API experience. 2 years required.",low
"Full-stack engineer with Go, React, PostgreSQL, Docker, CI/CD, and GitHub Actions. 3 years of experience.","Need full-stack developer with React, Go, PostgreSQL, Docker, GitHub Actions, and AWS. 3 years required.",high
"Machine learning student with Python, pandas, scikit-learn, Jupyter, and coursework in NLP.","Seeking junior ML engineer with Python, scikit-learn, Docker, FastAPI, SQL, and deployed API experience.",medium
"DevOps engineer using AWS, Docker, Kubernetes, Linux, CI/CD, and monitoring for five years.","Looking for DevOps engineer with Docker, Kubernetes, AWS, Linux, and CI/CD. 4 years required.",high
"Marketing coordinator with social media planning, copywriting, analytics, and presentations.","Need data engineer with Python, SQL, Airflow, Docker, AWS, and ETL pipeline development.",low
"Backend engineer with Python, SQL, FastAPI, pytest, Docker, and PostgreSQL. 2 years experience.","Need junior backend engineer with Python, FastAPI, PostgreSQL, Docker, pytest, and REST API development. 2 years required.",high
"Software engineer with JavaScript, Node, MongoDB, Express, and React. 2 years experience.","Looking for MERN stack engineer with JavaScript, Node, MongoDB, React, Docker, and testing. 2 years required.",high
"Research assistant using Python, numpy, pandas, and data cleaning.","Hiring ML platform engineer with Python, Docker, Kubernetes, SQL, FastAPI, and AWS. 3 years required.",low
"Data scientist with Python, scikit-learn, pandas, SQL, NLP, and model evaluation. 3 years experience.","Need data scientist with Python, scikit-learn, SQL, NLP, and model evaluation. 3 years required.",high
